"Service Name","Display Name","Startup Type"
"AarSvc_43ff32","Agent Activation Runtime_43ff32","Manual"
"AdobeARMservice","Adobe Acrobat Update Service","Automatic"
"AJRouter","AllJoyn Router Service","Manual"
"ALG","Application Layer Gateway Service","Manual"
"AppIDSvc","Application Identity","Manual"
"Appinfo","Application Information","Manual"
"AppMgmt","Application Management","Manual"
"AppReadiness","App Readiness","Manual"
"AppVClient","Microsoft App-V Client","Disabled"
"AppXSvc","AppX Deployment Service (AppXSVC)","Manual"
"AssignedAccessManagerSvc","AssignedAccessManager Service","Manual"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Automatic"
"Audiosrv","Windows Audio","Automatic"
"autotimesvc","Cellular Time","Manual"
"AxInstSV","ActiveX Installer (AxInstSV)","Manual"
"BcastDVRUserService_43ff32","GameDVR and Broadcast User Service_43ff32","Manual"
"BDESVC","BitLocker Drive Encryption Service","Manual"
"BFE","Base Filtering Engine","Automatic"
"BITS","Background Intelligent Transfer Service","Manual"
"BluetoothUserService_43ff32","Bluetooth User Support Service_43ff32","Manual"
"brave","Brave Update Service (brave)","Automatic"
"BraveElevationService","Brave Elevation Service (BraveElevationService)","Manual"
"bravem","Brave Update Service (bravem)","Manual"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Automatic"
"Browser","Computer Browser","Manual"
"BTAGService","Bluetooth Audio Gateway Service","Manual"
"BthAvctpSvc","AVCTP service","Manual"
"bthserv","Bluetooth Support Service","Manual"
"camsvc","Capability Access Manager Service","Manual"
"CaptureService_43ff32","CaptureService_43ff32","Manual"
"cbdhsvc_43ff32","Clipboard User Service_43ff32","Automatic"
"CDPSvc","Connected Devices Platform Service","Automatic"
"CDPUserSvc_43ff32","Connected Devices Platform User Service_43ff32","Automatic"
"CertPropSvc","Certificate Propagation","Manual"
"ClickToRunSvc","?Microsoft Office Click-to-Run Service?","Automatic"
"ClipSVC","Client Licence Service (ClipSVC)","Manual"
"CloudBackupRestoreSvc_43ff32","Cloud Backup and Restore Service_43ff32","Manual"
"cloudidsvc","Microsoft Cloud Identity Service","Manual"
"CmService","Container Manager Service","Automatic"
"COMSysApp","COM+ System Application","Manual"
"ConsentUxUserSvc_43ff32","ConsentUX User Service_43ff32","Manual"
"CoreMessagingRegistrar","CoreMessaging","Automatic"
"cplspcon","Intel(R) Content Protection HDCP Service","Automatic"
"CredentialEnrollmentManagerUserSvc_43ff32","CredentialEnrollmentManagerUserSvc_43ff32","Manual"
"CryptSvc","Cryptographic Services","Automatic"
"CscService","Offline Files","Manual"
"DcomLaunch","DCOM Server Process Launcher","Automatic"
"dcsvc","Declared Configuration(DC) service","Manual"
"defragsvc","Optimise drives","Manual"
"DeviceAssociationBrokerSvc_43ff32","DeviceAssociationBroker_43ff32","Manual"
"DeviceAssociationService","Device Association Service","Automatic"
"DeviceInstall","Device Install Service","Manual"
"DevicePickerUserSvc_43ff32","DevicePicker_43ff32","Manual"
"DevicesFlowUserSvc_43ff32","DevicesFlow_43ff32","Manual"
"DevQueryBroker","DevQuery Background Discovery Broker","Manual"
"Dhcp","DHCP Client","Automatic"
"diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service","Manual"
"diagsvc","Diagnostic Execution Service","Manual"
"DiagTrack","Connected User Experiences and Telemetry","Automatic"
"DialogBlockingService","DialogBlockingService","Disabled"
"DispBrokerDesktopSvc","Display Policy Service","Automatic"
"DisplayEnhancementService","Display Enhancement Service","Manual"
"DmEnrollmentSvc","Device Management Enrollment Service","Manual"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Manual"
"Dnscache","DNS Client","Automatic"
"DoSvc","Delivery Optimization","Automatic"
